Method,Features,Contamination,n_estimators,avg_Precision,avg_Recall,avg_F1,avg_Detected_Peaks,min_Precision,min_Recall,min_F1,min_Detected_Peaks,max_Precision,max_Recall,max_F1,max_Detected_Peaks,No_peaks_count
IT,torques,0.02,100.0,0.2411142604375,0.590000291625,0.250438360625,5324.625,0.0,0.0,0.0,11,1.0,1.0,0.823343849,28521,
IT,torques,0.01,100.0,0.34365559428125003,0.38737145290625,0.249221238125,1248.875,0.0,0.0,0.0,0,1.0,1.0,0.723404255,4149,4.0
IT,torques,0.01,150.0,0.3441909955,0.3897966139375,0.24896575334375,1269.75,0.0,0.0,0.0,0,1.0,1.0,0.726415094,4194,4.0
IT,torques,0.01,50.0,0.33533978359375,0.37809489215625,0.2456869239375,1198.125,0.0,0.0,0.0,0,1.0,1.0,0.752886836,3882,4.0
IT,torques,0.02,50.0,0.23115326584375,0.55884883953125,0.2433932935,5492.125,0.0,0.0,0.0,21,1.0,1.0,0.803738318,31031,
IT,torques,0.02,150.0,0.25789440465625,0.58782594465625,0.24322453821875,5394.125,0.0,0.0,0.0,6,1.0,1.0,0.800566916,28509,
IT,torques,0.05,150.0,0.13602216915625,0.73701357571875,0.19463615190625,9378.0,0.0,0.0,0.0,747,0.738495716,1.0,0.831071429,36637,
IT,torques,0.05,100.0,0.1338296766875,0.73790649446875,0.1935657090625,9036.625,0.0,0.0,0.0,755,0.745292052,1.0,0.8366177,35886,
IT,torques,0.05,50.0,0.119966448625,0.72164580021875,0.176438644375,9471.0,0.0,0.0,0.0,745,0.756512678,1.0,0.817567568,38226,
IT,all_sensors,0.02,50.0,0.15936641346875,0.42870951184375,0.12777892590625,3510.8125,0.0,0.0,0.0,0,1.0,1.0,0.534678045,10643,3.0
IT,all_sensors,0.01,50.0,0.17312929253125,0.26707408303125,0.12736632603125,1553.15625,0.0,0.0,0.0,0,1.0,1.0,0.448651545,6000,10.0
IT,all_sensors,0.01,150.0,0.14465925390625,0.26970669615625,0.1129825493125,1583.90625,0.0,0.0,0.0,0,0.847457627,1.0,0.436329234,5764,11.0
IT,all_sensors,0.02,100.0,0.120033245875,0.4016653724375,0.11041864459375,3685.5,0.0,0.0,0.0,0,1.0,1.0,0.505132193,11316,7.0
IT,all_sensors,0.02,150.0,0.11899517884375,0.40864722653125,0.1102539145625,3766.78125,0.0,0.0,0.0,0,1.0,1.0,0.508390305,11508,5.0
IT,all_sensors,0.01,100.0,0.13722518584375,0.262371854875,0.1074498928125,1621.78125,0.0,0.0,0.0,0,0.6953125,1.0,0.418046207,5608,12.0
IT,all_sensors,0.05,100.0,0.0590955354375,0.648511833,0.094305940375,13294.59375,0.0,0.0,0.0,333,0.346247629,1.0,0.459299191,51403,
IT,all_sensors,0.05,150.0,0.053041360843749996,0.6841144401875,0.08813423971875,15759.375,0.000355872,0.003367003,0.000643708,694,0.278337262,1.0,0.397186974,72948,
IT,all_sensors,0.05,50.0,0.05632866046875,0.68932892884375,0.08342451625,16279.125,0.0,0.0,0.0,303,0.548180314,1.0,0.617660764,59017,
